"","SPECIES","DATE","STATE","TIME","LOC","LAT","LONG","BAND_PR","BAND_N","L","R","AGE","SEX","WT","FAT","BM","BILL_L","BILL_W","BILL_D","WING","TARS","TAIL","RFID","GEOLOCATOR_ID","FEEDER","BANDER","NOTES","RECAP"
"26","LAZB",2019-06-11,"UT",0,"CC",NA,NA,2811,18126,"B","A","ASY","F",16.4,0,NA,7.78,5.01,6.09,69,17.73,55,"01103F439D",NA,"CC3","AMV","HALF DEVELOPED BP","N"
"27","LAZB",2019-06-11,"UT",0,"CC",NA,NA,2811,18127,"B","A","ASY","M",14.4,0,NA,6.78,4.61,5.47,75,16.75,56,"011016BF42",NA,"CC3","KSS","HUGE CP","N"
"28","LAZB",2019-06-11,"UT",0,"CC",NA,NA,2811,18128,"B","A","SY","F",13.3,0,NA,7.59,5.09,5.8,69,16.09,52,"011016DB3B",NA,"CC3","AMV","NO BP","N"
"29","LAZB",2019-06-11,"UT",0,"CC",NA,NA,2811,18129,"B","A","ASY","M",13.9,0,NA,7.65,4.8,5.88,71,17.7,56,"01103F7A4C",NA,"CC3","KSS","MEDIUM CP","N"
"30","LAZB",2019-06-11,"UT",0,"CC",NA,NA,2811,18130,"B","A","SY","M",14.2,0,NA,7.37,4.44,5.97,70,16.52,55,"01103F8FBF",NA,"CC3","KSS","MEDIUM CP","N"
"31","LAZB",2019-06-11,"UT",0,"CC",NA,NA,2811,18131,"B","A","ASY","M",14.7,0,NA,7.02,4.72,5.73,71,17.42,55,"01103F84F3",NA,"CC3","KSS","BIG CP","N"
"32","LAZB",2019-06-11,"UT",0,"CC",NA,NA,2811,18132,"B","A","SY","M",13.7,0,NA,7.42,4.73,5.57,70,17.28,51,"01103F8FDE",NA,"CC3","KSS","MEDIUM CP","N"
"33","LAZB",2019-06-11,"UT",0,"CC",NA,NA,2811,18133,"B","A","ASY","F",13.3,0,NA,7.4,5.33,5.82,66,14.88,51,"01103F8C02",NA,"CC3","AMV","SLIGHTLY DEVELOPED BP","N"
"34","LAZB",2019-06-11,"UT",0,"CC",NA,NA,2811,18134,"B","A","ASY","F",17.7,0,NA,7.19,5.2,5.64,65,17.22,51,"011016DF86",NA,"CC3","AMV","NO BP","N"
"35","LAZB",2019-06-11,"UT",0,"CC",NA,NA,2811,18135,"B","A","ASY","F",19.3,0,NA,6.75,5.24,5.73,70,15.55,52,"011016B7B3",NA,"CC3","AMV","SLIGHTLY DEVELOPED BP","N"
"36","LAZB",2019-06-11,"UT",0,"CC",NA,NA,2811,18136,"B","A","SY","M",15.2,0,NA,7.07,6.24,5.24,70,16.86,54,"01103F66A13",NA,"CC3","AMV","NO BP","N"
"37","LAZB",2019-06-11,"UT",0,"CC",NA,NA,2811,18137,"B","A","ASY",NA,14.7,0,NA,7.59,4.62,5.7,72,16.73,56,"011016D4EE",NA,"CC3","KSS","SMALL CP","N"
"38","LAZB",2019-06-11,"UT",0,"CC",NA,NA,2811,18138,"B","A","ASY","M",15.1,0,NA,7.2,4.82,5.72,72,16.77,55,"011016DE0E",NA,"CC3","KSS","BIG CP","N"
"39","LAZB",2019-06-11,"UT",0,"CC",NA,NA,2811,18139,"B","A","SY","F",14.1,0,NA,7.11,5.16,5.84,69,15.69,55,"01103F899A",NA,"CC3","AMV","NO BP","N"
